2026-01-25T23:55:01.706905+01:00, outdoor_avg_60m=0.0, flow_avg_10m=45.0, flowNow=50, powerNow=3000, freqNow=72, opState=heating, status=set_flow_target
2026-01-26T00:00:01.944369+01:00, outdoor_avg_60m=0.0, flow_avg_10m=50.0, flowNow=50.5, powerNow=3000, freqNow=72, opState=heating, status=set_flow_target
2026-01-26T00:05:01.570343+01:00, outdoor_avg_60m=0.0, flow_avg_10m=50.25, flowNow=51.5, powerNow=3000, freqNow=72, opState=heating, status=set_flow_target
2026-01-26T00:10:01.808050+01:00, outdoor_avg_60m=0.0, flow_avg_10m=51.0, flowNow=52.5, powerNow=3000, freqNow=72, opState=heating, status=set_flow_target
2026-01-26T00:15:01.830717+01:00, outdoor_avg_60m=0.0, flow_avg_10m=52.5, flowNow=53, powerNow=3000, freqNow=72, opState=heating, status=set_flow_target
2026-01-26T00:20:01.668548+01:00, outdoor_avg_60m=-0.08, flow_avg_10m=52.75, flowNow=52, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-01-26T00:25:01.701641+01:00, outdoor_avg_60m=-0.17, flow_avg_10m=52.5, flowNow=52, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-01-26T00:30:01.727266+01:00, outdoor_avg_60m=-0.25, flow_avg_10m=52.0, flowNow=52.5, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-01-26T00:35:01.558337+01:00, outdoor_avg_60m=-0.33, flow_avg_10m=52.25, flowNow=52.5, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-01-26T00:40:01.600906+01:00, outdoor_avg_60m=-0.42, flow_avg_10m=52.5, flowNow=52.5, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-01-26T00:45:01.636642+01:00, outdoor_avg_60m=-0.5, flow_avg_10m=52.5, flowNow=50, powerNow=2000, freqNow=46, opState=heating, status=set_flow_target
2026-01-26T00:50:01.656432+01:00, outdoor_avg_60m=-0.58, flow_avg_10m=50.0, flowNow=50, powerNow=2000, freqNow=46, opState=heating, status=set_flow_target
2026-01-26T00:55:01.678290+01:00, outdoor_avg_60m=-0.67, flow_avg_10m=50.0, flowNow=50, powerNow=2000, freqNow=46, opState=heating, status=set_flow_target
2026-01-26T01:00:01.710514+01:00, outdoor_avg_60m=-0.75, flow_avg_10m=50.0, flowNow=50, powerNow=2000, freqNow=46, opState=heating, status=set_flow_target
2026-01-26T01:05:01.553428+01:00, outdoor_avg_60m=-0.83, flow_avg_10m=50.0, flowNow=49.5, powerNow=2000, freqNow=46, opState=heating, status=set_flow_target
2026-01-26T01:10:01.577383+01:00, outdoor_avg_60m=-0.92, flow_avg_10m=49.75, flowNow=49.5, powerNow=2000, freqNow=46, opState=heating, status=set_flow_target
2026-01-26T01:15:01.613327+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=49.5, flowNow=49, powerNow=2000, freqNow=46, opState=heating, status=set_flow_target
2026-01-26T01:20:01.658354+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=49.0, flowNow=49.5, powerNow=2000, freqNow=50, opState=heating, status=set_flow_target
2026-01-26T01:25:01.679946+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=49.5, flowNow=49.5, powerNow=2000, freqNow=50, opState=heating, status=set_flow_target
2026-01-26T01:30:01.710005+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=49.5, flowNow=37, powerNow=0, freqNow=42, opState=heating, status=set_flow_target
2026-01-26T01:35:01.738475+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=37.0, flowNow=33, powerNow=0, freqNow=0, opState=heating, status=set_flow_target
2026-01-26T01:40:01.770199+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=33.0, flowNow=47, powerNow=2000, freqNow=62, opState=heating, status=set_flow_target
2026-01-26T01:45:01.603338+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=40.0, flowNow=48, powerNow=2000, freqNow=60, opState=heating, status=set_flow_target
2026-01-26T01:50:01.943231+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.0, flowNow=49, powerNow=2000, freqNow=62, opState=heating, status=set_flow_target
2026-01-26T01:55:01.668681+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=49.0, flowNow=50, powerNow=2000, freqNow=64, opState=heating, status=set_flow_target
2026-01-26T02:00:01.703978+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=49.5, flowNow=50.5, powerNow=3000, freqNow=66, opState=heating, status=set_flow_target
2026-01-26T02:05:01.527486+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=50.25, flowNow=52, powerNow=3000, freqNow=66, opState=heating, status=set_flow_target
2026-01-26T02:10:01.766881+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=52.0, flowNow=50, powerNow=2000, freqNow=56, opState=heating, status=set_flow_target
2026-01-26T02:15:01.591582+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=50.0, flowNow=50.5, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-01-26T02:20:01.624214+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=50.25, flowNow=51.5, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-01-26T03:35:01.903450+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=45.5, flowNow=45.5, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-01-26T03:40:01.846328+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=45.5, flowNow=47, powerNow=2000, freqNow=54, opState=heating, status=set_flow_target
2026-01-26T03:45:01.766953+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=46.25, flowNow=47.5, powerNow=2000, freqNow=56, opState=heating, status=set_flow_target
2026-01-26T03:50:01.593857+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=47.25, flowNow=48.5, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-01-26T03:55:01.634791+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=48.0, flowNow=48.5, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-01-26T04:00:02.068513+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=48.5, flowNow=49, powerNow=2000, freqNow=56, opState=heating, status=set_flow_target
2026-01-26T04:50:01.576925+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=57.5, flowNow=42.5, powerNow=2000, freqNow=72, opState=heating, status=set_flow_target
2026-01-26T04:55:01.605815+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=50.0, flowNow=46.5, powerNow=3000, freqNow=84, opState=heating, status=set_flow_target
2026-01-26T05:00:01.850687+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=46.5, flowNow=48, powerNow=3000, freqNow=84, opState=heating, status=set_flow_target
2026-01-26T05:05:01.674435+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=48.0, flowNow=49, powerNow=3000, freqNow=72, opState=heating, status=set_flow_target
2026-01-26T05:10:01.707618+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=48.5, flowNow=48.5, powerNow=3000, freqNow=68, opState=heating, status=set_flow_target
2026-01-26T05:15:01.733260+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=48.5, flowNow=49, powerNow=3000, freqNow=66, opState=heating, status=set_flow_target
2026-01-26T05:20:01.570474+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=48.75, flowNow=48.5, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-01-26T05:25:01.596673+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=48.75, flowNow=32, powerNow=0, freqNow=42, opState=heating, status=set_flow_target
2026-01-26T05:30:01.629053+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=32.0, flowNow=44.5, powerNow=1000, freqNow=48, opState=heating, status=set_flow_target
2026-01-26T05:35:01.872016+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=44.5, flowNow=48, powerNow=3000, freqNow=74, opState=heating, status=set_flow_target
2026-01-26T05:40:01.701414+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=48.0, flowNow=48.5, powerNow=3000, freqNow=70, opState=heating, status=set_flow_target
2026-01-26T05:45:01.728669+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=48.25, flowNow=49, powerNow=3000, freqNow=70, opState=heating, status=set_flow_target
2026-01-26T05:50:01.762452+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=49.0, flowNow=50, powerNow=3000, freqNow=64, opState=heating, status=set_flow_target
2026-01-26T05:55:01.584049+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=49.5, flowNow=49.5, powerNow=2000, freqNow=64, opState=heating, status=set_flow_target
2026-01-26T06:00:01.830021+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=49.5, flowNow=49, powerNow=2000, freqNow=56, opState=heating, status=set_flow_target
2026-01-26T06:05:01.658525+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=49.0, flowNow=49, powerNow=2000, freqNow=56, opState=heating, status=set_flow_target
2026-01-26T06:10:01.688802+01:00, outdoor_avg_60m=-2.0, flow_avg_10m=49.0, flowNow=49, powerNow=2000, freqNow=54, opState=heating, status=set_flow_target
2026-01-26T10:20:01.881393+01:00, outdoor_avg_60m=-3.0, flow_avg_10m=46.5, flowNow=46.5, powerNow=1000, freqNow=42, opState=heating, status=set_flow_target
2026-01-26T10:25:01.701807+01:00, outdoor_avg_60m=-3.0, flow_avg_10m=46.5, flowNow=40.5, powerNow=1000, freqNow=0, opState=heating, status=set_flow_target
2026-01-26T10:30:01.748418+01:00, outdoor_avg_60m=-3.0, flow_avg_10m=43.5, flowNow=45, powerNow=1000, freqNow=42, opState=heating, status=set_flow_target
2026-01-26T10:35:01.976869+01:00, outdoor_avg_60m=-3.0, flow_avg_10m=45.0, flowNow=45.5, powerNow=1000, freqNow=42, opState=heating, status=set_flow_target
2026-01-26T10:40:04.670028+01:00, outdoor_avg_60m=-2.91, flow_avg_10m=45.5, flowNow=45, powerNow=1000, freqNow=42, opState=heating, status=set_flow_target
2026-01-26T10:45:01.552567+01:00, outdoor_avg_60m=-2.82, flow_avg_10m=45.25, flowNow=33.5, powerNow=1000, freqNow=42, opState=heating, status=set_flow_target
2026-01-26T10:50:01.361321+01:00, outdoor_avg_60m=-2.73, flow_avg_10m=39.25, flowNow=38, powerNow=1000, freqNow=46, opState=heating, status=set_flow_target
2026-01-26T10:55:01.334836+01:00, outdoor_avg_60m=-2.64, flow_avg_10m=35.75, flowNow=43.5, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-01-26T11:00:01.649502+01:00, outdoor_avg_60m=-2.55, flow_avg_10m=43.5, flowNow=44, powerNow=2000, freqNow=52, opState=heating, status=set_flow_target
2026-01-26T11:05:01.551755+01:00, outdoor_avg_60m=-2.45, flow_avg_10m=44.0, flowNow=44, powerNow=2000, freqNow=48, opState=heating, status=set_flow_target
2026-01-26T11:10:01.496229+01:00, outdoor_avg_60m=-2.36, flow_avg_10m=44.0, flowNow=43, powerNow=1000, freqNow=42, opState=heating, status=set_flow_target
2026-01-26T11:15:01.628632+01:00, outdoor_avg_60m=-2.27, flow_avg_10m=43.0, flowNow=43.5, powerNow=1000, freqNow=42, opState=heating, status=set_flow_target
2026-01-26T11:20:01.625943+01:00, outdoor_avg_60m=-2.25, flow_avg_10m=43.5, flowNow=35.5, powerNow=0, freqNow=0, opState=heating, status=set_flow_target
2026-01-26T11:25:01.641155+01:00, outdoor_avg_60m=-2.08, flow_avg_10m=35.5, flowNow=42, powerNow=1000, freqNow=36, opState=heating, status=set_flow_target
2026-01-26T11:30:01.431239+01:00, outdoor_avg_60m=-1.92, flow_avg_10m=38.75, flowNow=42, powerNow=1000, freqNow=36, opState=heating, status=set_flow_target
2026-01-26T11:35:01.377529+01:00, outdoor_avg_60m=-1.75, flow_avg_10m=42.0, flowNow=42, powerNow=1000, freqNow=36, opState=heating, status=set_flow_target
2026-01-26T11:40:01.572847+01:00, outdoor_avg_60m=-1.67, flow_avg_10m=42.0, flowNow=43, powerNow=1000, freqNow=42, opState=heating, status=set_flow_target
2026-01-26T11:45:01.601488+01:00, outdoor_avg_60m=-1.55, flow_avg_10m=43.0, flowNow=43, powerNow=1000, freqNow=42, opState=heating, status=set_flow_target
2026-01-26T11:50:01.641080+01:00, outdoor_avg_60m=-1.45, flow_avg_10m=43.0, flowNow=43.5, powerNow=1000, freqNow=42, opState=heating, status=set_flow_target
2026-01-26T11:55:01.695868+01:00, outdoor_avg_60m=-1.36, flow_avg_10m=43.5, flowNow=43.5, powerNow=1000, freqNow=42, opState=heating, status=set_flow_target
2026-01-26T12:00:01.699117+01:00, outdoor_avg_60m=-1.27, flow_avg_10m=43.5, flowNow=43, powerNow=1000, freqNow=36, opState=heating, status=set_flow_target
2026-01-26T12:05:01.538320+01:00, outdoor_avg_60m=-1.25, flow_avg_10m=43.25, flowNow=43, powerNow=1000, freqNow=36, opState=heating, status=set_flow_target
2026-01-26T12:10:01.563624+01:00, outdoor_avg_60m=-1.09, flow_avg_10m=43.0, flowNow=43, powerNow=1000, freqNow=36, opState=heating, status=set_flow_target
2026-01-26T12:15:01.600709+01:00, outdoor_avg_60m=-1.08, flow_avg_10m=43.0, flowNow=43, powerNow=1000, freqNow=36, opState=heating, status=set_flow_target
2026-01-26T12:20:01.638276+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=43.0, flowNow=43, powerNow=1000, freqNow=36, opState=heating, status=set_flow_target
2026-01-26T12:25:01.684032+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=43.0, flowNow=43, powerNow=1000, freqNow=36, opState=heating, status=set_flow_target
2026-01-26T12:30:01.694173+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=43.0, flowNow=42, powerNow=1000, freqNow=32, opState=heating, status=set_flow_target
2026-01-26T12:35:01.726087+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=42.0, flowNow=42, powerNow=1000, freqNow=32, opState=heating, status=set_flow_target
2026-01-26T12:40:01.767744+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=42.0, flowNow=42, powerNow=1000, freqNow=32, opState=heating, status=set_flow_target
2026-01-26T12:45:01.590185+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=42.0, flowNow=42, powerNow=1000, freqNow=32, opState=heating, status=set_flow_target
2026-01-26T12:50:01.622286+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=42.0, flowNow=41.5, powerNow=1000, freqNow=32, opState=heating, status=set_flow_target
2026-01-26T12:55:02.063908+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=41.5, flowNow=41.5, powerNow=1000, freqNow=32, opState=heating, status=set_flow_target
2026-01-26T13:00:01.834156+01:00, outdoor_avg_60m=-0.91, flow_avg_10m=41.5, flowNow=41, powerNow=1000, freqNow=30, opState=heating, status=set_flow_target
2026-01-26T13:05:01.359291+01:00, outdoor_avg_60m=-0.83, flow_avg_10m=41.25, flowNow=41, powerNow=1000, freqNow=30, opState=heating, status=set_flow_target
2026-01-26T13:10:01.335933+01:00, outdoor_avg_60m=-0.75, flow_avg_10m=41.0, flowNow=41, powerNow=1000, freqNow=30, opState=heating, status=set_flow_target
2026-01-26T13:15:01.579159+01:00, outdoor_avg_60m=-0.67, flow_avg_10m=41.0, flowNow=41, powerNow=1000, freqNow=30, opState=heating, status=set_flow_target
2026-01-26T13:20:01.607841+01:00, outdoor_avg_60m=-0.58, flow_avg_10m=41.0, flowNow=40.5, powerNow=1000, freqNow=30, opState=heating, status=set_flow_target
2026-01-26T13:25:01.655224+01:00, outdoor_avg_60m=-0.5, flow_avg_10m=40.5, flowNow=40.5, powerNow=1000, freqNow=30, opState=heating, status=set_flow_target
2026-01-26T13:30:01.680142+01:00, outdoor_avg_60m=-0.42, flow_avg_10m=40.5, flowNow=40.5, powerNow=1000, freqNow=30, opState=heating, status=set_flow_target
2026-01-26T13:35:01.508130+01:00, outdoor_avg_60m=-0.33, flow_avg_10m=40.5, flowNow=40.5, powerNow=1000, freqNow=30, opState=heating, status=set_flow_target
2026-01-26T13:40:01.766781+01:00, outdoor_avg_60m=-0.25, flow_avg_10m=40.5, flowNow=40, powerNow=1000, freqNow=28, opState=heating, status=set_flow_target
2026-01-26T13:45:01.573153+01:00, outdoor_avg_60m=-0.17, flow_avg_10m=40.0, flowNow=40, powerNow=1000, freqNow=28, opState=heating, status=set_flow_target
2026-01-26T13:50:01.608002+01:00, outdoor_avg_60m=-0.08, flow_avg_10m=40.0, flowNow=40, powerNow=1000, freqNow=28, opState=heating, status=set_flow_target
2026-01-26T13:55:01.638874+01:00, outdoor_avg_60m=0.0, flow_avg_10m=40.0, flowNow=40, powerNow=1000, freqNow=28, opState=heating, status=set_flow_target
2026-01-26T14:00:01.806365+01:00, outdoor_avg_60m=0.0, flow_avg_10m=40.0, flowNow=39.5, powerNow=1000, freqNow=28, opState=heating, status=set_flow_target
2026-01-26T14:05:01.697345+01:00, outdoor_avg_60m=0.0, flow_avg_10m=39.5, flowNow=39.5, powerNow=1000, freqNow=28, opState=heating, status=set_flow_target
2026-01-26T14:10:01.737771+01:00, outdoor_avg_60m=0.0, flow_avg_10m=39.5, flowNow=39.5, powerNow=1000, freqNow=28, opState=heating, status=set_flow_target
2026-01-26T14:15:01.352421+01:00, outdoor_avg_60m=0.0, flow_avg_10m=39.5, flowNow=39.5, powerNow=1000, freqNow=28, opState=heating, status=set_flow_target
2026-01-26T14:20:01.805489+01:00, outdoor_avg_60m=0.0, flow_avg_10m=39.5, flowNow=39.5, powerNow=1000, freqNow=28, opState=heating, status=set_flow_target
2026-01-26T14:25:01.357490+01:00, outdoor_avg_60m=0.0, flow_avg_10m=39.5, flowNow=39.5, powerNow=1000, freqNow=28, opState=heating, status=set_flow_target
2026-01-26T14:30:01.623891+01:00, outdoor_avg_60m=0.0, flow_avg_10m=39.5, flowNow=39, powerNow=1000, freqNow=28, opState=heating, status=set_flow_target
